29 ;  Adams, Mike ; SS ; ACT ;  5'11" ; 205 ; 3/24/1981 ; 14 ; Delaware ; 
97 ;  Addison, Mario ; DE ; ACT ;  6'3" ; 260 ; 9/6/1987 ; 7 ; Troy ; 
3 ;  Anderson, Derek ; QB ; ACT ;  6'6" ; 235 ; 6/15/1983 ; 13 ; Oregon State ; 
40 ;  Armah, Alex ; RB ; ACT ;  6'1" ; 255 ; 5/17/1994 ; 0 ; West Georgia ; 
34 ;  Artis-Payne, Cameron ; RB ; ACT ;  5'10" ; 215 ; 6/23/1990 ; 3 ; Auburn ; 
11 ;  Bersin, Brenton ; WR ; ACT ;  6'3" ; 210 ; 5/9/1990 ; 4 ; Wofford ; 
24 ;  Bradberry, James ; CB ; ACT ;  6'1" ; 212 ; 8/4/1993 ; 2 ; Samford ; 
92 ;  Butler, Vernon ; DT ; ACT ;  6'4" ; 330 ; 6/14/1994 ; 2 ; Louisiana Tech ; 
18 ;  Byrd, Damiere ; WR ; RES ;  5'9" ; 180 ; 1/27/1993 ; 2 ; South Carolina ; 
31 ;  Byrd, Jairus ; DB ; ACT ;  5'10" ; 203 ; 10/7/1986 ; 9 ; Oregon ; 
12 ;  Clay, Kaelin ; WR ; ACT ;  5'10" ; 195 ; 1/2/1992 ; 3 ; Utah ; 
20 ;  Coleman, Kurt ; FS ; ACT ;  5'11" ; 208 ; 4/1/1988 ; 8 ; Ohio State ; 
36 ;  Cox, Demetrious ; DB ; RES ;  6'0" ; 200 ; 4/20/1994 ; 0 ; Michigan State ; 
64 ;  Cox, Bryan ; DE ; ACT ;  6'3" ; 270 ; 6/25/1994 ; 0 ; Florida ; 
58 ;  Davis, Thomas ; OLB ; ACT ;  6'1" ; 235 ; 3/22/1983 ; 13 ; Georgia ; 
84 ;  Dickson, Ed ; TE ; ACT ;  6'4" ; 255 ; 7/25/1987 ; 8 ; Oregon ; 
35 ;  Elder, Corn ; CB ; RES ;  5'10" ; 185 ; 10/9/1994 ; 0 ; Miami (Fla.) ; 
71 ;  France, Dan ; OT ; RES ;  6'6" ; 315 ; 4/1/1991 ; 1 ; Michigan State ; 
17 ;  Funchess, Devin ; WR ; ACT ;  6'4" ; 225 ; 5/21/1994 ; 3 ; Michigan ; 
57 ;  Gachkar, Andrew ; LB ; ACT ;  6'2" ; 224 ; 11/4/1988 ; 7 ; Missouri ; 
9 ;  Gano, Graham ; K ; ACT ;  6'2" ; 202 ; 4/9/1987 ; 8 ; Florida State ; 
4 ;  Gilbert, Garrett ; QB ; ACT ;  6'4" ; 230 ; 7/1/1991 ; 1 ; Southern Methodist ; 
54 ;  Green-Thompson, Shaq ; OLB ; ACT ;  6'0" ; 230 ; 4/21/1994 ; 3 ; Washington ; 
23 ;  Gunter, LaDarius ; CB ; ACT ;  6'2" ; 201 ; 5/13/1992 ; 3 ; Miami (Fla.) ; 
94 ;  Hall, Daeshon ; DE ; RES ;  6'5" ; 265 ; 6/14/1995 ; 0 ; Texas A&M ; 
96 ;  Horton, Wes ; DE ; ACT ;  6'5" ; 265 ; 12/17/1989 ; 5 ; USC ; 
91 ;  Iddings, Drew ; DT ; RES ;  6'5" ; 290 ; 3/16/1993 ; 1 ; South Dakota ; 
53 ;  Jacobs, Ben ; LB ; ACT ;  6'4" ; 240 ; 4/17/1988 ; 4 ; Fresno State ; 
44 ;  Jansen, J.J. ; LS ; ACT ;  6'2" ; 235 ; 1/20/1986 ; 10 ; Notre Dame ; 
12 ;  Johnson, Charles D. ; WR ; RES ;  6'2" ; 217 ; 2/27/1989 ; 4 ; Grand Valley State ; 
95 ;  Johnson, Charles ; DE ; ACT ;  6'2" ; 278 ; 7/10/1986 ; 11 ; Georgia ; 
42 ;  Jones, Colin ; FS ; ACT ;  6'0" ; 205 ; 10/27/1987 ; 7 ; Texas Christian ; 
75 ;  Kalil, Matt ; OT ; ACT ;  6'7" ; 315 ; 7/6/1989 ; 6 ; USC ; 
67 ;  Kalil, Ryan ; C ; ACT ;  6'2" ; 300 ; 3/29/1985 ; 11 ; USC ; 
59 ;  Kuechly, Luke ; MLB ; ACT ;  6'3" ; 238 ; 4/20/1991 ; 6 ; Boston College ; 
69 ;  Larsen, Tyler ; C ; ACT ;  6'4" ; 325 ; 7/8/1991 ; 2 ; Utah ; 
98 ;  Lotulelei, Star ; DT ; ACT ;  6'2" ; 315 ; 12/20/1989 ; 5 ; Utah ; 
93 ;  Love, Kyle ; DE ; ACT ;  6'1" ; 310 ; 11/18/1986 ; 6 ; Mississippi State ; 
32 ;  Luke, Cole ; CB ; RES ;  5'11" ; 200 ; 6/30/1995 ; 0 ; Notre Dame ; 
82 ;  Manhertz, Chris ; TE ; ACT ;  6'6" ; 255 ; 4/10/1992 ; 2 ; Canisius ; 
55 ;  Mayo, David ; MLB ; ACT ;  6'2" ; 245 ; 8/8/1993 ; 3 ; Texas State ; 
22 ;  McCaffrey, Christian ; RB ; ACT ;  5'11" ; 205 ; 6/7/1996 ; 0 ; Stanford ; 
72 ;  Moton, Taylor ; OT ; ACT ;  6'5" ; 325 ; 8/18/1994 ; 0 ; Western Michigan ; 
41 ;  Munnerlyn, Captain ; DB ; ACT ;  5'9" ; 195 ; 4/10/1988 ; 9 ; South Carolina ; 
1 ;  Newton, Cam ; QB ; ACT ;  6'5" ; 245 ; 5/11/1989 ; 7 ; Auburn ; 
52 ;  Norris, Jared ; ILB ; ACT ;  6'1" ; 238 ; 7/19/1993 ; 2 ; Utah ; 
68 ;  Norwell, Andrew ; OG ; ACT ;  6'6" ; 325 ; 10/25/1991 ; 4 ; Ohio State ; 
88 ;  Olsen, Greg ; TE ; ACT ;  6'5" ; 255 ; 3/11/1985 ; 11 ; Miami (Fla.) ; 
5 ;  Palardy, Michael ; P ; ACT ;  5'11" ; 200 ; 7/6/1992 ; 2 ; Tennessee ; 
90 ;  Peppers, Julius ; DE ; ACT ;  6'7" ; 295 ; 1/18/1980 ; 16 ; North Carolina ; 
2 ;  Ross, Fred ; WR ; RES ;  6'2" ; 210 ; 5/19/1995 ; 0 ; Mississippi State ; 
10 ;  Samuel, Curtis ; WR ; RES ;  5'11" ; 195 ; 8/11/1996 ; 0 ; Ohio State ; 
27 ;  Seymour, Kevon ; CB ; ACT ;  6'0" ; 185 ; 11/30/1993 ; 2 ; USC ; 
19 ;  Shepard, Russell ; WR ; ACT ;  6'1" ; 195 ; 9/17/1990 ; 5 ; LSU ; 
99 ;  Short, Kawann ; DT ; ACT ;  6'3" ; 315 ; 2/2/1989 ; 5 ; Purdue ; 
65 ;  Silatolu, Amini ; OG ; ACT ;  6'4" ; 305 ; 9/16/1988 ; 5 ; Midwestern State ; 
80 ;  Simonson, Scott ; TE ; RES ;  6'5" ; 255 ; 4/13/1992 ; 3 ; Assumption ; 
28 ;  Stewart, Jonathan ; RB ; ACT ;  5'10" ; 240 ; 3/21/1987 ; 10 ; Oregon ; 
74 ;  Theus, John ; OT ; ACT ;  6'6" ; 303 ; 1/19/1994 ; 2 ; Georgia ; 
70 ;  Turner, Trai ; OG ; ACT ;  6'3" ; 315 ; 6/14/1993 ; 4 ; LSU ; 
